,MA1_9,MA2_9,MA3_9,MA1_12,MA2_12,MA3_12,MOM(1),MOM(2),MOM(3),MOM(6),MOM(9),MOM(12)
63,1,1,1,1,1,1,1,1,1,0,0,0
64,0,0,0,0,0,1,1,1,1,1,0,0
65,0,0,0,0,0,0,1,1,1,1,1,1
66,0,0,0,0,0,0,0,1,1,1,1,1
67,0,0,0,0,0,0,1,0,1,1,1,0
68,0,0,0,0,0,0,1,1,0,1,1,1
69,0,0,0,0,0,0,1,1,1,1,1,1
70,0,0,0,0,0,0,0,0,0,1,1,1
71,1,1,0,0,0,0,0,0,0,0,1,1
72,1,1,1,1,1,1,0,0,0,0,0,1
73,1,1,1,1,1,1,1,0,0,0,0,1
74,1,1,1,1,1,1,1,1,0,0,0,1
75,1,1,1,1,1,1,1,1,1,0,0,1
76,0,0,1,0,1,1,1,1,1,1,1,1
77,0,0,0,0,0,0,1,1,1,1,1,0
78,0,0,0,0,0,0,0,1,1,1,1,1
79,0,0,0,0,0,0,1,1,1,1,1,1
80,0,0,0,0,0,0,0,0,0,1,1,0
81,0,0,0,0,0,0,1,0,0,1,1,1
82,0,0,0,0,0,0,0,1,0,1,1,1
83,0,0,0,0,0,0,1,1,1,1,1,1
84,0,0,0,0,0,0,1,1,1,1,1,1
85,0,0,0,0,0,0,0,1,1,1,1,1
86,0,0,0,0,0,0,1,0,1,1,1,1
87,0,0,0,0,0,0,1,1,1,1,1,1
88,0,0,0,0,0,0,1,1,1,1,1,1
89,0,0,0,0,0,0,1,1,1,1,1,1
90,0,0,0,0,0,0,0,1,1,1,1,1
91,0,0,0,0,0,0,0,0,0,1,1,1
92,0,0,0,0,0,0,0,0,0,1,1,1
93,0,0,0,0,0,0,1,1,0,1,1,1
94,0,0,0,0,0,0,1,1,1,1,1,1
95,0,0,0,0,0,0,1,1,1,1,1,1
96,0,0,0,0,0,0,0,1,1,1,1,1
97,1,1,0,1,0,0,0,0,0,0,0,1
98,0,1,1,0,1,0,1,0,0,1,1,1
99,0,0,0,0,0,0,1,1,1,1,1,1
100,1,0,0,1,0,0,0,0,0,0,0,0
101,1,1,1,1,1,1,0,0,0,0,0,0
102,1,1,1,1,1,1,0,0,0,0,0,0
103,1,1,1,1,1,1,0,0,0,0,0,0
104,1,1,1,1,1,1,0,0,0,0,0,0
105,1,1,1,1,1,1,0,0,0,0,0,0
106,1,1,1,1,1,1,0,0,0,0,0,0
107,1,1,1,1,1,1,1,0,0,0,0,0
108,1,1,1,1,1,1,0,0,0,0,0,0
109,1,1,1,1,1,1,0,0,0,0,0,0
110,1,1,1,1,1,1,0,0,0,0,0,0
111,0,1,1,1,1,1,1,1,1,1,0,0
112,0,0,0,0,0,1,1,1,1,1,0,0
113,0,0,0,0,0,0,1,1,1,1,1,0
114,0,0,0,0,0,0,0,0,1,1,1,0
115,0,0,0,0,0,0,1,0,0,1,1,0
116,0,0,0,0,0,0,0,0,0,1,1,0
117,0,0,0,0,0,0,1,1,1,1,1,1
118,0,0,0,0,0,0,1,1,1,1,1,1
119,0,0,0,0,0,0,0,1,1,1,1,1
120,0,0,0,0,0,0,0,0,1,1,1,1
121,1,1,1,1,1,0,0,0,0,0,0,1
122,1,1,1,1,1,1,0,0,0,0,0,1
123,1,1,1,1,1,1,1,1,0,0,0,0
124,1,1,1,1,1,1,0,0,0,0,0,0
125,1,1,1,1,1,1,0,0,0,0,0,0
126,1,1,1,1,1,1,0,0,0,0,0,0
127,1,1,1,1,1,1,0,0,0,0,0,0
128,1,1,1,1,1,1,0,0,0,0,0,0
129,1,1,1,1,1,1,1,0,0,0,0,0
130,1,1,1,1,1,1,0,0,0,0,0,0
131,1,1,1,1,1,1,1,0,0,0,0,0
132,1,1,1,1,1,1,1,1,0,0,0,0
133,1,1,1,1,1,1,1,1,1,0,0,0
134,0,0,0,0,1,1,1,1,1,1,0,0
135,0,0,0,0,0,0,1,1,1,1,1,0
136,0,0,0,0,0,0,0,1,1,1,1,0
137,0,0,0,0,0,0,1,1,1,1,1,1
138,0,0,0,0,0,0,1,1,1,1,1,1
139,1,0,0,1,0,0,0,0,0,0,0,0
140,1,1,1,1,1,1,0,0,0,0,0,0
141,1,1,1,1,1,1,1,1,0,0,0,0
142,1,1,1,1,1,1,0,1,0,0,0,0
143,1,1,1,1,1,1,1,1,1,0,0,0
144,0,1,1,1,1,1,1,1,1,0,0,1
145,0,0,1,0,1,1,1,1,1,1,0,1
146,1,0,0,1,1,1,0,0,1,1,0,0
147,0,0,0,1,1,1,1,0,0,1,0,0
148,0,0,0,0,0,0,1,1,1,1,1,1
149,0,0,0,0,0,0,1,1,1,1,1,1
150,0,0,0,0,0,0,1,1,1,1,1,1
151,0,0,0,0,0,0,1,1,1,1,1,1
152,0,0,0,0,0,0,0,1,1,1,1,1
153,0,0,0,0,0,0,1,0,1,1,1,1
154,0,0,0,0,0,0,1,1,1,1,1,1
155,0,0,0,0,0,0,0,1,1,1,1,1
156,0,0,0,0,0,0,1,0,1,1,1,1
157,0,0,0,0,0,0,1,1,1,1,1,1
158,0,0,0,0,0,0,0,1,1,1,1,1
159,1,1,0,1,0,0,0,0,0,1,1,1
160,1,1,1,0,1,0,1,0,0,0,1,1
161,1,1,1,1,1,1,1,1,0,0,1,1
162,0,1,1,0,0,0,1,1,1,1,1,1
163,0,0,0,0,0,0,1,1,1,0,0,1
164,0,0,0,0,0,0,1,1,1,1,1,1
165,0,0,0,0,0,0,1,1,1,1,1,1
166,0,0,0,0,0,0,1,1,1,1,1,1
167,0,0,0,0,0,0,1,1,1,1,1,1
168,0,0,0,0,0,0,1,1,1,1,1,1
169,0,0,0,0,0,0,0,1,1,1,1,1
170,0,0,0,0,0,0,1,0,1,1,1,1
171,1,0,0,1,0,0,0,0,0,0,1,1
172,1,1,1,1,1,0,1,0,0,0,1,1
173,1,1,1,1,1,1,0,0,0,0,0,0
174,1,1,1,1,1,1,0,0,0,0,0,0
175,1,1,1,1,1,1,1,1,0,0,0,0
176,1,1,1,1,1,1,1,1,1,0,0,0
177,1,1,1,1,1,1,0,0,0,0,0,0
178,1,1,1,1,1,1,0,0,0,0,0,0
179,1,1,1,1,1,1,1,0,0,0,0,0
180,1,1,1,1,1,1,1,1,1,0,0,0
181,1,1,1,1,1,1,0,1,1,0,0,0
182,1,1,1,1,1,1,0,0,0,0,0,0
183,1,1,1,1,1,1,1,0,0,0,0,0
184,0,0,1,0,1,1,1,1,1,1,0,0
185,0,0,0,1,1,1,0,0,1,1,0,0
186,0,0,0,0,1,0,1,0,1,0,1,0
187,0,0,0,0,0,0,1,1,1,1,1,0
188,0,0,0,0,0,0,0,1,1,1,1,0
189,0,0,0,0,0,0,1,1,1,1,1,1
190,0,0,0,0,0,0,1,1,1,1,1,1
191,0,0,0,0,0,0,0,0,1,1,1,1
192,0,0,0,0,0,0,0,0,0,1,1,1
193,0,0,0,0,0,0,1,1,1,1,1,1
194,0,0,0,0,0,0,0,1,1,1,1,1
195,1,0,0,0,0,0,0,0,1,0,1,1
196,1,1,0,0,0,0,0,0,0,0,1,1
197,1,1,1,1,1,1,0,0,0,0,0,1
198,1,1,1,1,1,1,1,0,0,1,0,1
199,1,1,1,1,1,1,0,0,0,0,0,0
200,1,1,1,1,1,1,1,1,1,0,0,1
201,0,0,1,0,0,1,1,1,1,1,1,0
202,0,0,0,0,0,0,1,1,1,1,0,0
203,1,0,0,1,0,0,0,0,1,1,0,0
204,0,1,0,1,1,1,1,0,0,1,0,1
205,0,0,0,1,1,1,1,1,0,1,0,0
206,1,1,1,1,1,1,0,0,0,0,0,0
207,1,1,1,1,1,1,0,0,0,0,0,0
208,1,1,1,1,1,1,0,0,0,0,0,0
209,0,1,1,0,1,1,1,1,1,1,1,1
210,0,0,1,0,0,1,1,1,1,1,1,1
211,0,0,0,1,0,0,0,0,1,0,0,1
212,0,0,0,0,0,0,1,0,0,1,1,1
213,0,0,0,0,0,0,0,1,0,1,1,0
214,0,0,0,0,0,0,1,1,1,1,1,0
215,0,0,0,0,0,0,1,1,1,1,1,1
216,0,0,0,0,0,0,1,1,1,1,1,1
217,0,0,0,0,0,0,1,1,1,1,1,1
218,0,0,0,0,0,0,0,1,1,1,1,1
219,0,0,0,0,0,0,1,1,1,1,1,1
220,0,0,0,0,0,0,1,1,1,1,1,1
221,0,0,0,0,0,0,0,1,1,1,1,1
222,0,0,0,0,0,0,1,0,1,1,1,1
223,0,0,0,0,0,0,0,0,0,1,1,1
224,1,1,1,1,1,0,0,0,0,0,0,1
225,1,1,1,1,1,1,1,0,0,0,0,1
226,1,1,1,1,1,1,0,0,0,0,0,0
227,1,1,1,1,1,1,1,0,0,0,0,0
228,1,1,1,1,1,1,0,1,0,0,0,0
229,1,1,1,1,1,1,1,0,1,0,0,0
230,0,1,1,1,1,1,1,1,1,1,0,0
231,0,0,0,1,1,1,0,1,1,1,0,0
232,0,0,0,1,1,1,0,0,1,1,0,0
233,0,0,0,0,1,1,1,0,0,1,1,0
234,0,0,0,1,0,0,0,1,0,1,1,0
235,1,1,0,1,1,0,0,0,0,1,1,0
236,1,1,1,1,1,1,0,0,0,0,0,0
237,0,1,1,0,1,1,1,1,0,0,1,0
238,0,0,0,0,0,0,1,1,1,1,1,1
239,0,0,0,0,0,0,1,1,1,1,1,1
240,0,0,0,0,0,0,1,1,1,1,1,1
241,0,0,0,0,0,0,0,0,1,1,1,1
242,0,0,0,0,0,0,0,0,0,1,1,1
243,0,0,0,0,0,0,1,1,0,1,1,1
244,0,0,0,0,0,0,1,1,1,1,1,1
245,0,0,0,0,0,0,1,1,1,1,1,1
246,0,0,0,0,0,0,0,1,1,1,1,1
247,0,0,0,0,0,0,1,1,1,1,1,1
248,0,0,0,0,0,0,1,1,1,1,1,1
249,0,0,0,0,0,0,1,1,1,1,1,1
250,0,0,0,0,0,0,1,1,1,1,1,1
251,0,0,0,0,0,0,1,1,1,1,1,1
252,0,0,0,0,0,0,0,1,1,1,1,1
253,0,0,0,0,0,0,1,1,1,1,1,1
254,0,0,0,0,0,0,1,1,1,1,1,1
255,0,0,0,0,0,0,1,1,1,1,1,1
256,0,0,0,0,0,0,1,1,1,1,1,1
257,0,0,0,0,0,0,1,1,1,1,1,1
258,0,0,0,0,0,0,0,1,1,1,1,1
259,0,0,0,0,0,0,1,1,1,1,1,1
260,0,0,0,0,0,0,0,1,1,1,1,1
261,0,0,0,0,0,0,1,1,1,1,1,1
262,1,0,0,0,0,0,0,0,0,0,1,1
263,1,1,1,0,0,0,1,0,0,0,1,1
264,1,1,1,1,1,1,0,0,0,0,0,1
265,1,1,1,1,1,1,1,1,1,0,0,1
266,1,1,1,1,1,1,0,0,0,0,0,1
267,1,1,1,1,1,1,1,0,1,0,0,1
268,1,1,1,1,1,1,0,0,0,0,0,0
269,1,1,1,1,1,1,1,0,0,0,0,0
270,0,1,1,1,1,1,1,1,1,1,0,0
271,0,0,0,0,1,1,1,1,1,0,1,0
272,1,0,0,1,1,1,0,0,1,1,0,0
273,1,1,1,1,1,1,0,0,0,0,0,0
274,1,1,1,1,1,1,0,0,0,0,0,0
275,0,1,1,1,1,1,1,1,0,1,0,0
276,1,1,1,1,1,1,0,1,1,0,0,0
277,1,1,1,1,1,1,0,0,1,0,0,0
278,1,1,1,1,1,1,1,0,0,0,0,0
279,1,1,1,1,1,1,0,0,0,0,0,0
280,1,1,1,1,1,1,1,0,0,0,0,0
281,1,1,1,1,1,1,0,0,0,0,0,0
282,1,1,1,1,1,1,0,0,0,0,0,0
283,1,1,1,1,1,1,0,0,0,0,0,0
284,1,1,1,1,1,1,1,0,0,0,0,0
285,1,1,1,1,1,1,1,1,1,0,0,0
286,1,1,1,1,1,1,0,0,0,0,0,0
287,1,1,1,1,1,1,0,0,0,0,0,0
288,1,1,1,1,1,1,0,0,0,0,0,0
289,1,1,1,1,1,1,1,1,0,0,0,0
290,1,1,1,1,1,1,0,1,0,0,0,0
291,1,1,1,1,1,1,0,0,1,0,0,0
292,0,1,1,0,1,1,1,1,1,1,0,0
293,0,0,0,0,0,1,1,1,1,1,0,0
294,0,0,0,0,0,0,1,1,1,1,1,1
295,0,0,0,0,0,0,1,1,1,1,1,1
296,0,0,0,0,0,0,1,1,1,1,1,1
297,0,0,0,0,0,0,1,1,1,1,1,1
298,0,0,0,0,0,0,1,1,1,1,1,1
299,0,0,0,0,0,0,1,1,1,1,1,1
300,0,0,0,0,0,0,0,1,1,1,1,1
301,0,0,0,0,0,0,1,1,1,1,1,1
302,0,0,0,0,0,0,1,1,1,1,1,1
303,0,0,0,0,0,0,0,1,1,1,1,1
304,0,0,0,0,0,0,0,0,1,1,1,1
305,0,0,0,0,0,0,1,0,0,1,1,1
306,0,0,0,0,0,0,0,0,0,1,1,1
307,1,1,1,1,0,0,0,0,0,0,1,1
308,1,1,1,0,1,0,1,1,0,0,1,1
309,1,1,1,0,0,1,1,1,1,0,1,1
310,0,1,1,0,0,0,1,1,1,1,1,1
311,0,0,0,0,0,0,1,1,1,1,0,1
312,0,0,0,0,0,0,0,1,1,1,1,1
313,0,0,0,0,0,0,1,1,1,1,1,1
314,1,0,0,1,0,0,0,0,0,1,0,0
315,0,1,0,0,0,0,1,0,0,1,1,0
316,1,1,1,1,0,0,0,1,0,1,1,1
317,1,1,1,1,1,0,0,0,1,0,1,0
318,1,1,1,1,1,1,0,0,0,0,0,1
319,1,1,1,1,1,1,0,0,0,0,0,0
320,1,1,1,1,1,1,0,0,0,0,0,0
321,1,1,1,1,1,1,1,0,0,0,0,0
322,1,1,1,1,1,1,1,1,1,0,0,0
323,0,0,1,0,1,1,1,1,1,0,0,0
324,0,0,0,0,0,0,1,1,1,1,0,0
325,0,0,0,0,0,0,1,1,1,1,1,1
326,0,0,0,0,0,0,1,1,1,1,1,1
327,0,0,0,0,0,0,1,1,1,1,1,1
328,0,0,0,0,0,0,0,0,1,1,1,1
329,0,0,0,0,0,0,0,0,0,1,1,1
330,1,1,0,0,0,0,0,0,0,1,1,1
331,1,1,1,1,0,0,0,0,0,0,1,1
332,1,1,1,0,1,1,1,1,0,0,1,1
333,1,1,1,0,0,1,1,1,1,0,1,1
334,0,0,1,0,0,0,1,1,1,0,0,1
335,0,0,0,0,0,0,1,1,1,1,1,1
336,0,0,0,0,0,0,1,1,1,1,1,1
337,0,0,0,0,0,0,0,0,1,1,1,1
338,0,0,0,0,0,0,1,1,1,1,1,1
339,0,0,0,0,0,0,1,1,1,1,1,1
340,0,0,0,0,0,0,0,1,1,1,1,1
341,0,0,0,0,0,0,1,0,1,1,1,1
342,0,0,0,0,0,0,1,1,1,1,1,1
343,0,0,0,0,0,0,1,1,1,1,1,1
344,0,0,0,0,0,0,1,1,1,1,1,1
345,0,0,0,0,0,0,1,1,1,1,1,1
346,0,0,0,0,0,0,0,0,0,1,1,1
347,0,0,0,0,0,0,1,0,1,1,1,1
348,1,0,0,0,0,0,0,0,0,1,1,1
349,1,1,1,1,1,0,0,0,0,0,0,1
350,1,1,1,1,1,1,1,0,0,0,0,1
351,1,1,1,1,1,1,0,0,0,0,0,0
352,1,1,1,1,1,1,1,0,1,0,0,0
353,1,1,1,1,1,1,1,1,1,0,0,1
354,0,0,1,0,1,1,1,1,1,1,0,1
355,0,0,0,0,0,0,1,1,1,1,1,1
356,0,0,0,0,0,0,0,1,1,1,0,0
357,0,0,0,0,0,0,1,0,1,1,1,0
358,0,0,0,0,0,0,1,1,1,1,1,1
359,0,0,0,0,0,0,0,1,1,1,1,0
360,0,0,0,0,0,0,0,0,1,1,1,1
361,0,0,0,0,0,0,1,1,0,0,1,1
362,0,0,0,0,0,0,1,1,1,1,1,1
363,0,0,0,0,0,0,1,1,1,1,1,1
364,0,0,0,0,0,0,1,1,1,1,1,1
365,0,0,0,0,0,0,1,1,1,1,1,1
366,0,0,0,0,0,0,1,1,1,1,1,1
367,0,0,0,0,0,0,1,1,1,1,1,1
368,0,0,0,0,0,0,0,0,1,1,1,1
369,1,1,0,1,0,0,0,0,0,0,1,1
370,1,1,1,1,1,0,1,0,0,0,1,1
371,1,1,1,1,1,1,1,1,0,0,1,1
372,0,1,1,0,0,1,1,1,1,0,1,1
373,0,0,1,0,0,0,1,1,1,0,1,1
374,1,1,0,1,0,0,0,0,1,0,0,1
375,0,0,0,0,0,0,1,1,1,1,0,1
376,0,0,0,0,0,0,1,1,1,1,0,1
377,0,0,0,0,0,0,1,1,1,1,1,1
378,0,0,0,0,0,0,1,1,1,1,1,1
379,0,0,0,0,0,0,0,1,1,1,1,1
380,0,0,0,0,0,0,1,1,1,1,1,1
381,0,0,0,0,0,0,1,1,1,1,1,1
382,0,0,0,0,0,0,1,1,1,1,1,1
383,0,0,0,0,0,0,1,1,1,1,1,1
384,0,0,0,0,0,0,1,1,1,1,1,1
385,0,0,0,0,0,0,1,1,1,1,1,1
386,0,0,0,0,0,0,1,1,1,1,1,1
387,0,0,0,0,0,0,1,1,1,1,1,1
388,0,0,0,0,0,0,0,0,1,1,1,1
389,1,0,0,0,0,0,0,0,0,1,1,1
390,1,1,1,0,0,0,0,0,0,1,1,1
391,1,1,1,1,1,1,0,0,0,0,0,1
392,1,1,1,1,1,1,0,0,0,0,0,0
393,1,1,1,1,1,1,0,0,0,0,0,0
394,1,1,1,1,1,1,1,1,1,0,0,1
395,0,1,1,1,1,1,1,1,1,0,0,1
396,0,0,0,1,1,1,0,1,1,0,0,0
397,0,0,0,1,1,1,0,0,1,1,0,0
398,0,0,0,0,0,0,1,1,1,1,1,0
399,0,0,0,0,0,0,0,1,1,1,1,0
400,0,0,0,1,0,0,0,0,0,1,1,0
401,1,1,0,1,1,0,0,0,0,0,1,0
402,1,1,1,1,1,1,0,0,0,0,1,0
403,1,1,1,1,1,1,0,0,0,0,0,0
404,1,1,1,1,1,1,1,1,0,0,0,1
405,1,1,1,1,1,1,0,1,0,0,0,1
406,1,1,1,1,1,1,0,0,1,0,0,0
407,1,1,1,1,1,1,0,0,0,0,0,0
408,1,1,1,1,1,1,0,0,0,0,0,0
409,1,1,1,1,1,1,0,0,0,0,0,0
410,1,1,1,1,1,1,0,0,0,0,0,0
411,1,1,1,1,1,1,0,0,0,0,0,0
412,1,1,1,1,1,1,0,0,0,0,0,0
413,1,1,1,1,1,1,0,0,0,0,0,0
414,1,1,1,1,1,1,1,1,0,0,0,0
415,1,1,1,1,1,1,1,1,1,0,0,0
416,0,0,1,1,1,1,1,1,1,0,0,0
417,1,0,0,1,1,1,0,0,1,0,0,0
418,0,0,0,0,1,0,1,1,1,1,0,0
419,0,0,0,0,0,0,0,1,0,1,0,0
420,0,0,0,0,0,0,1,0,1,1,1,0
421,1,0,0,1,0,0,0,0,0,0,1,0
422,1,1,1,1,1,0,0,0,0,0,1,0
423,1,1,1,1,1,1,1,0,0,0,1,0
424,1,1,1,1,1,1,0,0,0,0,0,0
425,1,1,1,1,1,1,1,1,1,0,0,1
426,0,0,1,0,0,1,1,1,1,1,1,1
427,1,0,0,1,0,0,0,0,1,0,0,0
428,0,0,0,0,0,0,1,0,1,1,1,0
429,0,0,0,0,0,0,1,1,0,1,1,1
430,0,0,0,0,0,0,1,1,1,1,1,0
431,0,0,0,0,0,0,0,0,0,1,1,0
432,0,0,0,0,0,0,1,0,0,0,1,0
433,0,0,0,0,0,0,1,1,1,1,1,1
434,1,1,1,1,0,0,0,0,0,0,0,1
435,0,1,1,0,1,0,1,0,1,1,0,1
436,1,0,1,0,0,1,0,1,0,0,1,1
437,1,1,1,1,1,1,0,0,1,0,0,1
438,1,1,1,1,1,1,1,0,0,0,0,0
439,0,1,1,1,1,1,1,1,0,0,0,1
440,0,0,1,0,0,1,1,1,1,1,1,0
441,0,0,0,0,0,0,1,1,1,0,1,0
442,0,0,0,0,0,0,1,1,1,1,1,1
443,0,0,0,0,0,0,0,1,1,1,1,1
444,1,1,0,1,1,0,0,0,0,0,0,0
445,0,1,1,0,1,0,1,0,0,1,1,0
446,0,0,1,0,0,1,1,1,0,1,1,1
447,0,0,0,0,0,0,0,0,1,1,1,1
448,1,1,0,0,0,0,1,0,0,0,1,1
449,1,1,1,0,0,0,0,0,0,0,1,1
450,0,0,0,0,0,0,1,1,1,1,1,1
451,0,0,0,0,0,0,0,1,1,1,0,1
452,0,0,0,0,0,0,1,1,1,1,1,1
453,0,0,0,0,0,0,0,1,1,1,1,1
454,1,1,0,0,0,0,1,0,1,1,1,0
455,0,0,0,0,0,0,1,1,0,1,1,1
456,0,0,0,0,0,0,1,1,1,1,1,1
457,0,0,0,0,0,0,0,1,1,1,1,1
458,0,0,0,0,0,0,0,0,1,0,1,1
459,0,0,0,0,0,0,1,0,0,1,1,1
460,0,0,0,0,0,0,0,1,0,1,1,1
461,1,0,0,1,0,0,0,0,0,1,0,1
462,1,1,1,1,1,1,1,0,0,0,1,1
463,1,1,1,1,1,1,0,0,0,0,0,0
464,1,1,1,1,1,1,0,0,0,0,0,0
465,1,1,1,1,1,1,0,0,0,0,0,0
466,1,1,1,1,1,1,0,0,0,0,0,0
467,1,1,1,1,1,1,0,0,0,0,0,0
468,1,1,1,1,1,1,0,0,0,0,0,0
469,1,1,1,1,1,1,1,1,0,0,0,0
470,1,1,1,1,1,1,0,1,1,0,0,0
471,1,1,1,1,1,1,1,0,1,0,0,0
472,1,1,1,1,1,1,0,0,0,0,0,0
473,1,1,1,1,1,1,0,0,0,0,0,0
474,1,1,1,1,1,1,0,0,0,0,0,0
475,1,1,1,1,1,1,1,0,0,0,0,0
476,1,1,1,1,1,1,0,1,0,0,0,0
477,0,1,1,0,1,1,1,1,1,0,1,0
478,0,0,0,0,0,0,1,1,1,1,1,1
479,1,0,0,1,0,0,0,0,1,1,0,1
480,1,1,0,1,1,0,0,0,0,1,0,0
481,1,1,1,1,1,1,1,0,0,1,0,0
482,1,1,1,1,1,1,0,0,0,0,0,0
483,1,1,1,1,1,1,0,0,0,0,1,0
484,1,1,1,1,1,1,1,1,0,0,0,0
485,0,1,1,0,0,1,1,1,1,1,1,1
486,1,0,0,1,0,0,0,1,1,1,0,1
487,1,1,0,1,1,1,0,0,0,0,0,0
488,1,1,1,1,1,1,0,0,0,0,0,0
489,0,1,1,1,1,1,1,1,0,1,0,0
490,0,0,1,1,1,1,0,1,1,0,0,0
491,1,1,1,1,1,1,0,0,1,0,0,0
492,1,1,1,1,1,1,0,0,0,0,0,0
493,1,1,1,1,1,1,0,0,0,0,0,0
494,1,1,1,1,1,1,0,0,0,0,0,0
495,1,1,1,1,1,1,1,0,0,0,0,0
496,1,1,1,1,1,1,0,0,0,0,0,0
497,1,1,1,1,1,1,0,0,0,0,0,0
498,1,1,1,1,1,1,1,1,1,0,0,0
499,0,0,1,1,1,1,1,1,1,0,0,0
500,0,0,0,1,1,1,0,0,1,1,0,0
501,0,0,0,1,1,1,0,0,0,1,0,0
502,0,0,0,0,0,0,1,1,1,1,1,0
503,0,0,0,0,0,0,1,1,1,1,1,0
504,0,0,0,0,0,0,0,0,1,1,1,0
505,0,0,0,0,0,0,1,1,1,1,1,1
506,0,0,0,0,0,0,1,1,1,1,1,1
507,0,0,0,0,0,0,0,0,1,1,1,1
508,0,0,0,0,0,0,0,0,0,1,1,1
509,0,0,0,0,0,0,1,0,0,1,1,1
510,1,1,1,1,1,0,0,0,0,0,1,1
511,1,1,1,1,1,1,1,0,0,0,0,1
512,1,1,1,1,1,1,0,0,0,0,0,1
513,1,1,1,1,1,1,1,1,1,0,1,1
514,1,1,1,1,1,1,0,1,1,0,0,0
515,0,0,0,0,1,1,1,1,1,0,0,1
516,0,0,0,0,0,1,1,1,1,1,0,1
517,0,0,0,0,0,0,0,0,1,1,0,0
518,0,0,0,0,0,0,1,0,0,1,0,0
519,1,0,0,1,0,0,0,0,0,0,1,0
520,0,1,0,0,0,0,1,0,0,1,1,0
521,1,1,1,1,0,0,0,0,0,0,1,0
522,1,1,1,1,1,1,0,0,0,0,0,1
523,1,1,1,1,1,1,1,0,0,0,1,1
524,1,1,1,1,1,1,1,1,1,0,0,1
525,1,1,1,1,1,1,0,0,1,0,0,0
526,1,1,1,1,1,1,1,0,0,0,0,1
527,0,0,0,0,0,1,1,1,1,1,0,0
528,0,0,0,0,0,0,1,1,1,1,1,0
529,0,0,0,0,0,0,1,1,1,1,1,1
530,0,0,0,0,0,0,1,1,1,1,1,1
531,0,0,0,0,0,0,0,1,1,1,1,1
